RDF Type	Class type	Parent	ID	See Also	Label	Label	Label	Label	Abbreviation	Definition	Editors Note	Citation
owl:Class	subclass	ADO:00011	ADO:00012	http://vivoweb.org/ontology/degree/academicDegree98	Doctor of Philosophy				PhD	"A doctorate in any discipline except medicine, or sometimes theology."		
owl:Class	subclass	ADO:00011	ADO:00096	http://vivoweb.org/ontology/degree/academicDegree139	Doctor of Podiatric Medicine				DPM	Doctor of Podiatric Medicine		
owl:Class	subclass	ADO:00011	ADO:00097		Doctor of Psychiatry				PsyD	Doctor of Psychiatry		
owl:Class	subclass	ADO:00011	ADO:00098	http://vivoweb.org/ontology/degree/academicDegree119	Doctor of Psychology				PsyD	Doctor of Psychology		
owl:Class	subclass	ADO:00011	ADO:00099	http://vivoweb.org/ontology/degree/academicDegree49	Doctor of Public Administration				DPA	Doctor of Public Administration		
owl:Class	subclass	ADO:00011	ADO:00100	http://vivoweb.org/ontology/degree/academicDegree50	Doctor of Public Health				DPH	Doctor of Public Health		
owl:Class	subclass	ADO:00011	ADO:00101	http://vivoweb.org/ontology/degree/academicDegree51	Doctor of Religious Education				DRE	Doctor of Religious Education		
owl:Class	subclass	ADO:00011	ADO:00102	http://vivoweb.org/ontology/degree/academicDegree105	Doctor of Sacred Theology				STD	Doctor of Sacred Theology		
owl:Class	subclass	ADO:00011	ADO:00103	http://vivoweb.org/ontology/degree/academicDegree54	Doctor of Science				DSc	Doctor of Science		
owl:Class	subclass	ADO:00011	ADO:00104		Doctor of Science in Nursing				DSN	Doctor of Science in Nursing		
owl:Class	subclass	ADO:00011	ADO:00105	http://vivoweb.org/ontology/degree/academicDegree103	Doctor of Social Science				SScD	Doctor of Social Science		
owl:Class	subclass	ADO:00011	ADO:00106	http://vivoweb.org/ontology/degree/academicDegree52	Doctor of Social Welfare				DSW	Doctor of Social Welfare		
owl:Class	subclass	ADO:00011	ADO:00107	http://vivoweb.org/ontology/degree/academicDegree53	Doctor of Social Work				DSW	Doctor of Social Work		
owl:Class	subclass	ADO:00011	ADO:00108	http://vivoweb.org/ontology/degree/academicDegree102	Doctor of the Science of Law				SJD	Doctor of the Science of Law		
owl:Class	subclass	ADO:00011	ADO:00015	http://vivoweb.org/ontology/degree/academicDegree108	Doctor of Theology				ThD	Highest degree in theology		
owl:Class	subclass	ADO:00011	ADO:00109	http://vivoweb.org/ontology/degree/academicDegree55	Doctor of Veterinary Medicine				DVM	Doctor of Veterinary Medicine		
owl:Class	subclass	ADO:00011	ADO:00110		Doctorate in Audiology				AuD	Doctorate in Audiology		
owl:Class	subclass	ADO:00006	ADO:00111	http://vivoweb.org/ontology/degree/academicDegree57	Education Specialist				EdS	Education Specialist		
owl:Class	subclass	ADO:00007	ADO:00112	http://vivoweb.org/ontology/degree/academicDegree58	Electrical Engineer				EE	Electrical Engineer		
owl:Class	subclass	ADO:00007	ADO:00113	http://vivoweb.org/ontology/degree/academicDegree60	Engineer of Metallurgy				EMet	Engineer of Metallurgy		
owl:Class	subclass	ADO:00007	ADO:00114	http://vivoweb.org/ontology/degree/academicDegree59	Engineer of Mines				EM	Engineer of Mines		
owl:Class	subclass	ADO:00007	ADO:00116	http://vivoweb.org/ontology/degree/academicDegree62	Industrial Engineering				IE	Industrial Engineering		
owl:Class	subclass	ADO:00011	ADO:00014	http://vivoweb.org/ontology/degree/academicDegree63	Juris Doctor				JD	Degree required to practice law		
owl:Class	subclass	ADO:00010	ADO:00117		Master of Accounting				MAcc	Master of Accounting		
owl:Class	subclass	ADO:00010	ADO:00118	http://vivoweb.org/ontology/degree/academicDegree72	Master of Aeronautical Engineering				MAeroE	Master of Aeronautical Engineering		
owl:Class	subclass	ADO:00010	ADO:00119		Master of Agribusiness				MAB	Master of Agribusiness		
owl:Class	subclass	ADO:00010	ADO:00120		Master of Agriculture				MAgr	Master of Agriculture		
owl:Class	subclass	ADO:00009	ADO:00121	http://vivoweb.org/ontology/degree/academicDegree3	Master of Arts in Teaching				AMT	Master of Arts in Teaching		
owl:Class	subclass	ADO:00009	ADO:00122	http://vivoweb.org/ontology/degree/academicDegree73	Master of Business Administration				MBA	Master of Business Administration		
owl:Class	subclass	ADO:00010	ADO:00123	http://vivoweb.org/ontology/degree/academicDegree141	Master of Business Engineering				MBE	Master of Business Engineering		
